"aicc","model"
2238.80563719644,"(1,0,1)(3,3,1)[12]"
2238.83300943419,"(1,0,0)(0,3,2)[12]"
2238.9189186327,"(0,1,1)(3,3,2)[12]"
2239.02994914935,"(0,1,2)(3,3,2)[12]"
2239.12237250037,"(0,1,1)(5,3,1)[12]"
2239.40132102231,"(2,2,3)(0,3,2)[12]"
2239.45806630604,"(1,1,0)(0,3,3)[12]"
2239.5036148578,"(0,2,5)(0,3,2)[12]"
2239.53133430956,"(0,0,2)(0,3,3)[12]"
2239.5818011988,"(1,2,4)(0,3,2)[12]"
2239.68179740131,"(1,2,2)(2,3,1)[12]"
2239.94671689942,"(2,1,0)(1,3,2)[12]"
2239.98302817868,"(3,1,0)(0,3,3)[12]"
2240.08211286527,"(3,2,2)(0,3,2)[12]"
2240.09224018638,"(2,2,1)(3,3,1)[12]"
2240.22348369003,"(2,0,0)(0,3,2)[12]"
2240.23060109494,"(0,2,2)(2,3,1)[12]"
2240.2607237723,"(1,0,1)(0,3,2)[12]"
2240.31381660552,"(0,1,1)(1,3,5)[12]"
2240.39974727923,"(1,0,0)(3,3,1)[12]"
2240.53531797189,"(0,2,3)(2,3,1)[12]"
2240.66651496492,"(0,1,1)(2,3,4)[12]"
2240.68839266581,"(0,1,1)(3,3,3)[12]"
2240.82908804431,"(0,2,2)(0,3,2)[12]"
2240.83732627622,"(1,1,0)(1,3,2)[12]"
2240.86995758375,"(2,1,0)(0,3,4)[12]"
2240.8764051604,"(2,0,1)(3,3,1)[12]"
2240.89185867157,"(4,1,0)(1,3,2)[12]"
2240.91985515417,"(0,2,2)(5,3,0)[12]"
2240.97581414016,"(1,0,2)(3,3,1)[12]"
2241.0359392283,"(2,1,0)(1,3,3)[12]"
2241.0982813914,"(0,0,2)(1,3,2)[12]"
2241.14663606837,"(2,1,0)(2,3,2)[12]"
2241.16138179351,"(3,1,0)(1,3,2)[12]"
2241.20988533483,"(3,0,0)(3,3,1)[12]"
2241.24877703611,"(1,2,3)(2,3,1)[12]"
2241.31710588098,"(1,1,0)(0,3,4)[12]"
2241.584060347,"(1,2,1)(3,3,1)[12]"
2241.62561213677,"(0,0,2)(1,3,3)[12]"
2241.63258556684,"(0,0,2)(0,3,4)[12]"
2241.68256014152,"(1,1,0)(1,3,3)[12]"
2241.77776671302,"(0,2,4)(2,3,1)[12]"
2241.79691559118,"(0,0,2)(2,3,2)[12]"
2241.92903664295,"(1,1,1)(4,3,1)[12]"
2241.98889715568,"(3,1,0)(0,3,4)[12]"
2242.11531844125,"(1,1,0)(2,3,2)[12]"
2242.22062758399,"(0,2,1)(0,3,3)[12]"
2242.36376372143,"(2,0,1)(0,3,2)[12]"
2242.39315114661,"(3,0,0)(0,3,2)[12]"
2242.4217346236,"(1,0,2)(0,3,2)[12]"
2242.44813078169,"(3,1,0)(2,3,2)[12]"
2242.48511248028,"(1,1,1)(3,3,1)[12]"
2242.51629248818,"(3,1,0)(1,3,3)[12]"
2242.56466069208,"(0,1,1)(4,3,1)[12]"
2242.58380496485,"(2,1,0)(2,3,3)[12]"
2242.85782780406,"(2,1,0)(1,3,4)[12]"
2242.89116040028,"(2,1,0)(0,3,5)[12]"
2243.07781956413,"(0,1,2)(4,3,1)[12]"
2243.13756846966,"(0,1,1)(3,3,1)[12]"
2243.24085219421,"(4,2,1)(0,3,2)[12]"
2243.29284151444,"(0,2,1)(1,3,2)[12]"
2243.37940000426,"(0,1,2)(3,3,1)[12]"
2243.54204651611,"(2,1,0)(3,3,2)[12]"
2243.61422704325,"(1,1,0)(1,3,4)[12]"
2243.69211538819,"(1,0,1)(2,3,1)[12]"
2243.76059979726,"(0,1,1)(4,3,2)[12]"
2243.76298269544,"(1,1,0)(2,3,3)[12]"
2243.78933904139,"(1,1,0)(0,3,5)[12]"
2243.88519381191,"(0,0,2)(1,3,4)[12]"
2243.8937799923,"(0,0,2)(2,3,3)[12]"
2243.90519059009,"(0,0,2)(0,3,5)[12]"
2243.97126826844,"(1,1,1)(0,3,2)[12]"
2243.9856288031,"(3,2,1)(0,3,2)[12]"
2243.99652937571,"(2,0,0)(2,3,1)[12]"
2244.0041204146,"(2,2,2)(2,3,1)[12]"
2244.00951724548,"(3,0,1)(0,3,2)[12]"
2244.05996962147,"(0,0,2)(3,3,2)[12]"
2244.14485619666,"(1,1,0)(3,3,2)[12]"
2244.19761162206,"(0,2,1)(1,3,3)[12]"
2244.22081768988,"(0,2,1)(0,3,4)[12]"
2244.30856537449,"(1,0,3)(0,3,2)[12]"
2244.332757414,"(0,0,3)(0,3,2)[12]"
2244.49714264804,"(1,0,0)(2,3,1)[12]"
2244.49812420938,"(1,2,1)(0,3,2)[12]"
2244.500107441,"(4,0,0)(0,3,2)[12]"
2244.54464178567,"(2,0,2)(0,3,2)[12]"
2244.5642063948,"(0,1,3)(3,3,1)[12]"
2244.71555443722,"(2,2,1)(0,3,2)[12]"
2244.75957908468,"(1,0,1)(5,3,0)[12]"
2244.80077158266,"(0,2,1)(0,3,5)[12]"
2245.02737288741,"(0,0,3)(3,3,1)[12]"
2245.13043497282,"(0,2,1)(2,3,2)[12]"
2245.22021448812,"(2,2,1)(2,3,1)[12]"
2245.45985316626,"(1,0,0)(5,3,0)[12]"
2245.6025787106,"(2,1,1)(0,3,2)[12]"
2245.64059786622,"(0,0,4)(0,3,2)[12]"
2245.6447745694,"(1,1,2)(0,3,2)[12]"
2245.85017285166,"(2,0,1)(2,3,1)[12]"
2245.88952476951,"(1,0,2)(2,3,1)[12]"
2245.9774320678,"(0,2,1)(3,3,2)[12]"
2245.99501788139,"(3,0,0)(2,3,1)[12]"
2246.22487103711,"(3,2,1)(2,3,1)[12]"
2246.30397631156,"(1,1,0)(2,3,4)[12]"
2246.31485208888,"(1,1,0)(1,3,5)[12]"
2246.34534213407,"(0,2,1)(5,3,1)[12]"
2246.37410590953,"(4,0,1)(0,3,2)[12]"
2246.39608371429,"(5,0,0)(0,3,2)[12]"
2246.44062842287,"(0,0,2)(0,3,2)[12]"
2246.47984973032,"(0,2,1)(1,3,4)[12]"
2246.48395070106,"(2,0,3)(0,3,2)[12]"
2246.52430208981,"(1,1,0)(3,3,3)[12]"
2246.52508892223,"(1,2,1)(2,3,1)[12]"
2246.60883055264,"(3,0,2)(0,3,2)[12]"
2246.72249976606,"(0,1,3)(0,3,2)[12]"
2247.15804330654,"(0,2,1)(4,3,2)[12]"
2247.34744667685,"(0,2,1)(2,3,3)[12]"
2247.36429147882,"(2,1,0)(4,3,1)[12]"
2247.53335581453,"(0,1,2)(0,3,2)[12]"
2247.56471113464,"(1,0,4)(0,3,2)[12]"
2247.74351416648,"(2,1,2)(0,3,2)[12]"
2247.75455529232,"(3,1,1)(0,3,2)[12]"
2247.78559327633,"(0,0,5)(0,3,2)[12]"
2247.87767518515,"(1,1,3)(0,3,2)[12]"
2247.99964304883,"(2,0,2)(2,3,1)[12]"
2248.01343396949,"(1,0,3)(2,3,1)[12]"
2248.037444132,"(0,1,4)(0,3,2)[12]"
2248.25795725203,"(4,0,0)(2,3,1)[12]"
2248.35360753763,"(0,0,2)(4,3,1)[12]"
2248.56919776466,"(0,2,1)(1,3,5)[12]"
2248.61878445204,"(0,2,1)(3,3,3)[12]"
2248.80129020842,"(1,1,1)(5,3,0)[12]"
2249.07135937261,"(2,1,0)(3,3,1)[12]"
